,IDENTIFIER,DAYS_ENGAGED,APPS_USED
3000,232246,17,17.0
3001,114503,6,6.0
3008,116474,8,51.0
3010,226188,6,8.0
3011,230656,7,14.0
3021,313327,11,
3028,129117,5,3.0
3031,255775,19,18.0
3037,167882,3,3.0
3042,169103,7,12.0
3043,182966,9,
3047,100290,10,13.0
3054,169453,3,5.0
3055,106235,6,8.0
3058,184650,12,6.0
3059,306176,19,25.0
3065,324442,11,14.0
3067,111944,3,7.0
3068,231061,7,11.0
3070,297526,19,26.0
3071,257565,5,5.0
3074,159311,5,26.0
3078,300792,1,
3082,303045,2,
3084,122564,5,12.0
3086,182324,4,8.0
3090,242180,5,1.0
3095,286734,6,14.0
3099,302130,21,81.0
3102,207786,2,2.0
3103,219099,2,2.0
3108,270983,1,
3110,109390,19,20.0
3111,268213,3,5.0
3113,213507,3,3.0
3115,194027,4,27.0
3116,119310,10,4.0
3123,149474,6,3.0
3126,302737,1,
3129,271429,8,16.0
3131,159977,7,7.0
3136,318878,1,
3139,224211,8,
3140,191503,1,2.0
3155,125352,5,5.0
3166,240721,12,21.0
3167,164473,8,7.0
3171,319202,4,12.0
3172,137508,5,12.0
3179,108016,3,13.0
3180,178556,3,
3188,108038,2,3.0
3190,126732,1,
3191,276373,8,5.0
3193,179153,1,
3194,253802,9,16.0
3199,151265,1,1.0
3200,272779,10,16.0
3201,104418,8,6.0
3202,137938,12,15.0
3212,221559,8,9.0
3216,301665,7,23.0
3217,213806,1,
3218,307691,3,4.0
3219,173620,9,5.0
3223,322636,2,
3226,116698,9,11.0
3227,276165,1,1.0
3229,286329,6,12.0
3233,230344,6,1.0
3241,185420,6,7.0
3245,117459,13,18.0
3250,136324,3,14.0
3252,106771,10,19.0
3253,111357,7,17.0
3254,232527,5,4.0
3257,141089,3,5.0
3258,101797,16,27.0
3259,221922,6,5.0
3264,174265,3,
3266,127211,4,5.0
3267,288301,20,33.0
3270,231390,6,10.0
3273,165572,27,89.0
3274,237267,6,7.0
3280,140164,17,26.0
3444,163535,14,16.0
3445,319435,2,2.0
3446,220364,11,4.0
3447,313675,12,8.0
3448,260595,9,22.0
3459,123301,2,1.0
3461,249369,20,2.0
3462,194430,4,8.0
3469,240039,3,3.0
3470,209618,5,8.0
3471,307687,2,8.0
3472,292617,20,7.0
3473,127913,5,5.0
3476,199846,13,24.0
3478,278562,10,17.0
3480,318051,1,1.0
3483,234429,5,16.0
3486,210162,12,6.0
3489,299186,2,2.0
3490,130502,8,19.0
