,IDENTIFIER,TRX_AMOUNT,TRX_CNT,MERCHANT_CNT,MODE_1,MODE_1_CNT
1939,141019,56.93,7,5,Bills,3
1940,135150,71.51,7,5,Bills,5
1952,137576,130.86,4,3,Bills,2
1953,110249,66.69,5,4,Bills,3
1954,107765,32.95,3,3,Bills,1
1955,227825,44.54,6,4,Bills,2
1956,117092,32.52,5,4,Bills,2
1957,256672,67.99,6,5,Bills,3
1967,133434,29.83,8,4,Bills,6
1968,281331,58.06,6,6,Bills,2
1979,133625,25.36,5,3,Bills,2
1990,121879,282.83,5,4,Bills,2
1991,142471,43.69,3,3,Bills,1
1992,185845,41.91,5,4,Bills,2
1998,142950,69.43,8,7,Bills,2
1999,231143,33.72,3,3,Bills,1
2010,254206,35.51,4,4,Bills,2
2011,176666,110.27,7,4,Bills,4
2012,261909,16.43,3,3,Bills,1
2013,175527,19.61,3,3,Bills,1
2022,121961,67.06,6,4,Bills,4
2023,270371,79.91,5,4,Bills,2
2024,109761,57.03,5,4,Bills,2
2037,118514,80.7,52,6,Bills,29
2038,190499,23.71,8,5,Bills,4
2039,188049,96.08,4,4,Bills,2
2049,296394,25.14,12,4,Bills,7
2050,263250,22.09,3,3,Bills,1
2051,142179,24.44,4,3,Bills,2
2059,129572,193.95,17,8,Bills,8
2060,117844,75.34,4,4,Bills,2
2061,275251,51.49,5,4,Bills,2
2062,270929,38.97,5,5,Bills,3
2063,128189,70.06,4,4,Bills,2
2071,202257,15.83,3,3,Bills,1
2072,240065,71.7,8,7,Bills,3
2073,267936,38.17,3,3,Bills,1
2083,166044,184.2,6,4,Bills,3
2084,103380,52.42,6,5,Bills,3
2085,267203,35.59,6,5,Bills,2
2086,202623,55.21,5,5,Bills,3
2087,175018,22.79,3,3,Bills,1
2088,231156,40.21,5,4,Bills,2
2089,105489,34.2,7,4,Bills,3
2090,289513,44.76,4,4,Bills,2
2095,142679,39.57,3,3,Bills,1
2096,111943,31.46,3,3,Bills,1
2097,123212,45.61,4,4,Bills,2
2107,112277,139.05,7,3,Bills,3
2123,310409,31.15,4,4,Bills,2
2124,141087,97.49,8,4,Bills,4
2132,236038,67.23,5,4,Bills,3
2140,201080,72.52,3,3,Bills,1
2151,230475,89.85,8,5,Bills,3
2152,230903,42.01,6,4,Bills,2
2153,234949,30.14,3,3,Bills,1
2170,171093,17.63,11,3,Bills,5
2171,211431,56.58,8,5,Bills,3
2172,193330,64.25,4,3,Bills,2
2173,306954,34.81,3,3,Bills,1
2174,212875,21.31,10,3,Bills,5
2189,139525,335.29,5,4,Bills,2
2194,129947,30.68,4,3,Bills,2
2195,138015,40.23,3,3,Bills,1
2205,140607,82.01,4,4,Bills,2
2206,258706,65.53,4,4,Bills,2
2207,140128,28.26,3,3,Bills,1
2214,264162,31.89,4,4,Bills,2
2215,120985,43.91,3,3,Bills,1
2216,131012,210.65,8,5,Bills,3
2217,132200,37.97,3,3,Bills,1
2225,116473,89.85,4,3,Bills,2
2226,110537,39.68,4,4,Bills,2
2235,108762,116.15,9,6,Bills,4
2236,135819,44.79,4,3,Bills,2
2255,263635,30.4,5,3,Bills,2
2256,136508,173.26,11,5,Bills,6
2257,229477,40.2,8,4,Bills,4
2258,193520,16.2,5,3,Bills,3
2259,123817,45.37,6,4,Bills,2
2260,229567,202.37,4,3,Bills,2
2270,316894,30.87,3,3,Bills,1
2271,135753,41.66,3,3,Bills,1
2272,272675,32.01,12,7,Bills,6
2273,117777,77.59,4,4,Bills,2
2274,103561,58.68,4,4,Bills,2
2286,294312,44.21,7,5,Bills,3
2287,237758,36.69,3,3,Bills,1
2288,325620,50.16,9,8,Bills,4
2289,269618,66.75,3,3,Bills,1
2290,323051,32.96,4,4,Bills,2
2294,253850,87.63,5,3,Bills,2
2306,296463,109.14,5,5,Bills,2
2314,116752,122.99,6,4,Bills,4
2315,125519,101.8,3,3,Bills,1
2316,279554,83.16,7,4,Bills,3
2323,190346,32.43,18,4,Bills,9
2324,285786,84.56,4,4,Bills,2
2334,178086,47.42,5,5,Bills,2
2335,192005,46.74,4,4,Bills,2
2336,102711,49.52,6,5,Bills,3
2337,317904,32.26,3,3,Bills,1
2346,160738,78.84,11,6,Bills,9
2360,102645,11.86,6,3,Bills,4
2361,223211,44.58,3,3,Bills,1
2362,200705,62.44,6,4,Bills,2
2363,182645,51.81,5,4,Bills,2
2370,210195,19.29,6,3,Bills,3
2371,122154,281.3,13,6,Bills,7
2372,318380,61.57,4,4,Bills,2
2373,280633,70.01,6,4,Bills,2
2374,285408,165.27,4,4,Bills,2
2382,209829,130.5,4,4,Bills,2
2383,300809,49.38,4,4,Bills,2
2384,136242,46.0,3,3,Bills,1
2398,233931,51.67,4,4,Bills,2
2399,121018,55.65,7,5,Bills,3
2410,310613,33.0,10,3,Bills,8
2411,127629,29.81,4,4,Bills,2
2416,254249,37.53,5,5,Bills,2
2417,113586,69.19,7,6,Bills,2
2418,103080,43.77,5,3,Bills,2
2419,110444,55.11,5,5,Bills,2
2425,127615,60.75,7,5,Bills,3
2426,269689,54.68,6,5,Bills,2
2439,105147,57.11,5,5,Bills,2
2440,123978,60.22,4,4,Bills,2
2444,207614,84.42,4,4,Bills,2
2445,213926,70.17,3,3,Bills,1
2446,305734,72.27,4,4,Bills,2
2447,320576,19.4,4,4,Bills,2
2448,182741,18.11,3,3,Bills,1
2453,191077,75.05,5,4,Bills,3
2454,194284,92.89,3,3,Bills,1
2455,232443,38.8,4,4,Bills,2
2471,114577,29.39,6,5,Bills,3
2472,257603,112.63,5,5,Bills,2
2484,189216,30.17,3,3,Bills,1
2485,139833,136.35,5,4,Bills,2
2486,209194,8.2,4,3,Bills,2
2506,311343,56.0,3,3,Bills,1
2507,105554,28.43,7,4,Bills,5
2508,205378,51.3,6,4,Bills,3
2509,314554,71.33,7,5,Bills,3
2510,126653,79.9,6,5,Bills,2
2525,227279,226.95,6,5,Bills,3
2526,111669,6.0,3,3,Bills,1
2533,182758,35.96,5,4,Bills,2
2534,109362,55.87,4,4,Bills,2
2546,106875,67.37,4,4,Bills,2
2709,279196,40.31,2,2,Bills,1
2710,124344,119.18,3,2,Bills,2
2711,107051,62.93,3,3,Bills,2
2712,253533,27.22,4,2,Bills,3
2713,118188,44.47,4,4,Bills,2
2714,120988,26.69,3,3,Bills,2
2715,312799,28.68,2,2,Bills,1
2716,257594,15.71,5,2,Bills,3
2717,324415,21.74,2,2,Bills,1
2718,289447,37.98,6,4,Bills,4
2719,259674,42.89,2,2,Bills,1
2720,169180,52.53,3,2,Bills,2
2721,141868,65.28,3,3,Bills,2
2722,119183,37.2,2,2,Bills,1
2723,137861,53.28,3,3,Bills,2
2724,133411,34.64,3,3,Bills,2
2725,238497,33.75,2,2,Bills,1
2726,139404,84.3,11,4,Bills,6
2727,125489,48.21,2,2,Bills,1
2728,272720,5.36,2,2,Bills,1
2729,176888,47.23,2,2,Bills,1
2730,236566,43.23,3,3,Bills,2
2731,310914,21.0,2,2,Bills,1
2732,178622,68.72,3,3,Bills,2
2733,293341,38.09,4,2,Bills,2
2734,241473,35.88,3,3,Bills,2
2735,253802,20.29,9,3,Bills,7
2736,109323,45.07,3,3,Bills,2
2737,119305,29.8,3,3,Bills,2
2738,194430,39.3,3,3,Bills,2
2739,129220,21.83,2,2,Bills,1
2740,112888,14.91,2,2,Bills,1
2741,131796,48.23,3,3,Bills,2
2742,299816,27.68,6,4,Bills,3
2743,116242,52.63,3,3,Bills,2
2744,105884,43.36,4,3,Bills,2
2745,269393,22.94,2,2,Bills,1
2746,242436,18.37,2,2,Bills,1
2747,222659,24.13,2,2,Bills,1
2748,117689,52.74,3,3,Bills,2
2749,211174,28.63,3,3,Bills,2
2750,152235,25.38,2,2,Bills,1
2751,185682,14.26,2,2,Bills,1
2752,311193,28.78,2,2,Bills,1
2753,173620,15.97,2,2,Bills,1
2754,271693,61.44,4,2,Bills,3
2755,102823,48.67,2,2,Bills,1
2756,321749,19.33,2,2,Bills,1
2757,104797,101.44,3,2,Bills,2
2758,252858,26.02,2,2,Bills,1
2759,137593,55.29,2,2,Bills,1
2760,112643,30.2,2,2,Bills,1
2761,122334,98.02,5,3,Bills,3
2762,215437,61.55,2,2,Bills,1
2763,241747,21.32,2,2,Bills,1
2764,115687,44.46,3,3,Bills,2
2765,152199,39.46,2,2,Bills,1
2766,107569,119.41,5,3,Bills,4
2767,233715,50.74,2,2,Bills,1
2768,129752,28.77,3,3,Bills,2
2769,173505,22.84,2,2,Bills,1
2770,131998,47.95,4,3,Bills,3
2771,196688,44.96,3,3,Bills,2
3044,128981,46.39,3,3,Bills,2
3045,122674,34.97,4,3,Bills,2
3046,257410,28.32,2,2,Bills,1
3047,137532,71.4,3,3,Bills,2
3048,224755,47.11,4,4,Bills,3
3049,200740,39.06,2,2,Bills,1
3050,103885,37.87,3,3,Bills,2
3051,320985,36.8,2,2,Bills,1
3052,303652,38.25,3,2,Bills,2
3053,240583,36.32,3,3,Bills,2
3054,319269,25.17,2,2,Bills,1
3055,239090,42.76,3,2,Bills,2
3056,259364,32.01,3,3,Bills,2
3057,231912,25.98,2,2,Bills,1
3058,124440,54.03,4,3,Bills,3
3059,158008,8.0,4,3,Bills,2
3060,110325,34.64,3,3,Bills,2
3061,240885,52.78,4,3,Bills,2
3062,164987,60.64,4,4,Bills,3
3063,100579,42.21,2,2,Bills,1
3064,157137,26.98,4,4,Bills,2
3065,139043,23.34,2,2,Bills,1
3066,104301,40.49,2,2,Bills,1
3067,136126,70.88,3,3,Bills,2
3068,194978,55.54,5,4,Bills,3
3069,186254,58.49,4,2,Bills,3
3070,105152,61.15,3,3,Bills,2
3071,100428,34.06,2,2,Bills,1
3072,105261,39.99,2,2,Bills,1
3073,263614,67.66,3,2,Bills,2
3074,106579,30.64,2,2,Bills,1
3075,120732,40.43,2,2,Bills,1
