iter	Passed	Remaining
763	2783	859
764	2786	856
765	2790	852
766	2794	848
767	2796	844
768	2800	841
769	2803	837
770	2807	833
771	2809	829
772	2813	826
773	2816	822
774	2820	818
775	2823	815
776	2827	811
777	2829	807
778	2832	803
779	2835	799
780	2839	796
781	2841	792
782	2845	788
783	2847	784
784	2850	780
785	2853	776
786	2857	773
787	2860	769
788	2864	765
789	2867	762
790	2871	758
791	2873	754
792	2877	751
793	2880	747
794	2883	743
795	2886	739
796	2890	736
797	2892	732
798	2895	728
799	2898	724
800	2901	720
801	2904	716
802	2907	713
803	2909	709
804	2913	705
805	2915	701
806	2919	698
807	2922	694
808	2925	690
809	2929	687
810	2931	683
811	2934	679
812	2937	675
813	2940	671
814	2942	667
815	2946	664
816	2948	660
817	2952	656
818	2955	653
819	2958	649
820	2961	645
821	2964	641
822	2967	638
823	2971	634
824	2973	630
825	2977	627
826	2979	623
827	2983	619
828	2986	615
829	2989	612
830	2992	608
831	2996	604
832	2998	601
833	3002	597
834	3005	593
835	3008	590
836	3012	586
837	3014	582
838	3018	579
839	3021	575
840	3024	571
841	3027	568
842	3030	564
843	3033	560
844	3037	557
845	3039	553
846	3043	549
847	3046	545
848	3049	542
849	3052	538
850	3055	534
851	3057	531
852	3061	527
853	3064	523
854	3070	520
855	3072	516
856	3076	513
857	3078	509
858	3082	505
859	3084	502
860	3088	498
861	3090	494
862	3094	491
863	3097	487
864	3101	484
865	3103	480
866	3107	476
867	3109	472
868	3113	469
869	3115	465
870	3119	462
871	3122	458
872	3126	454
873	3129	451
874	3133	447
875	3135	443
876	3139	440
877	3142	436
878	3147	433
879	3150	429
880	3154	426
881	3157	422
882	3161	418
883	3164	415
884	3169	411
885	3172	408
886	3176	404
887	3179	401
888	3184	397
889	3186	393
890	3192	390
891	3196	386
892	3199	383
893	3205	380
894	3209	376
895	3215	373
896	3218	369
897	3224	366
898	3230	362
899	3235	359
900	3240	356
901	3245	352
902	3250	349
903	3253	345
904	3260	342
905	3264	338
906	3270	335
907	3275	331
908	3281	328
909	3285	324
910	3291	321
911	3295	317
912	3301	314
913	3305	310
914	3310	307
915	3314	303
916	3318	300
917	3322	296
918	3325	293
919	3329	289
920	3333	285
921	3336	282
922	3339	278
923	3342	274
924	3346	271
925	3349	267
926	3353	264
927	3356	260
928	3360	256
929	3362	253
930	3366	249
931	3368	245
932	3372	242
933	3374	238
934	3378	234
935	3380	231
936	3384	227
937	3386	223
938	3390	220
939	3392	216
940	3395	212
